OverallStatus,StartDate,MaximumAge,MinimumAge,EnrollmentType,EnrollmentCount,DetailedDescription,BriefSummary
Completed,"September 18, 1997",,18 Years,Actual,157,"The Amish and Mennonite populations represent outstanding communities for the study of genetic disease for a number of reasons. There is a high degree of inbreeding, resulting in a high frequency of recessive disorders, many of which are seen rarely or are unknown outside of this population. Extensive genealogical records are available, and the average family size is large. This proposal includes a number of collaborators who have had extremely close, extensive interaction with the Lancaster County Amish over the past decade; their relationships with the community are invaluable to the success of this project. We have had substantial success with this research over the past seven years, leading to the discovery of the molecular etiology of four human diseases and the establishment of a useful database and tools for genealogical analysis. We propose to continue this line of research to further characterize these disorders and identify additional ones, as well as enlarging a computerized Anabaptist genealogy.","The purposes of this study are to identify the genes responsible for several inherited disorders commonly seen in the Amish and Mennonite populations and learn more about the natural history (medical problems that develop over time) of these disorders. In addition, researchers will establish a computer database containing Amish genealogies, derived largely from the community s extensive records of births, marriages, deaths, etc., that will help construct pedigrees (family trees) for genetic study.

The Amish and Mennonite peoples have a high rate of intermarriage within their individual communities, with a resulting high incidence of inherited disorders. Many of these disorders, such as cartilage-hair hypoplasia, Ellis-van Creveld syndrome, and others, are rarely seen outside these communities. New research using state-of-the-art methodologies in genetics will add to current knowledge about the causes and symptoms of these disorders that will eventually aid in their diagnosis and medical management.

Patients with inherited disorders that occur frequently in the Amish and Mennonite populations and their family members may be eligible for this study. Individuals from both within and outside these communities may enroll.

Participants will be evaluated with a review of their medical records and their personal and family medical history and a brief physical examination. A small tissue sample will be collected for genetic studies. This will be either a blood sample (3 teaspoons from adults and 1 to 3 teaspoons from children, depending on their size) or a mouth swab (cells removed from inside the cheek by gentle brushing). Some participants may undergo additional procedures, such as diagnostic X-rays, brain scans, echocardiogram (heart ultrasound) or other studies.

If genetic testing shows a gene change (mutation), the participant will be notified to that effect in writing and offered counseling in their home regarding the test results and their implications."
Recruiting,"May 22, 2014",,18 Years,Anticipated,300,"Leg ulcers are a serious and debilitating complication of sickle cell disease (SCD). This study will explore microbial, genomic, and environmental (social and physical) factors, that may influence the onset and progression of leg ulcer formation and delayed healing in individuals living with SCD. There is variation in the incidence and duration of SCD leg ulcers. They are often very painful, resistant to treatment, and recurrent in nature. The etiology of SCD-associated leg ulcers is unclear, and we hypothesize that predisposition to developing leg ulcers is multifactorial. This multi site study is an exploratory study of the microbiome and environment of individuals living with sickle cell disease leg ulcers. The study s objective is to identify triggers that may be integral in leg ulcer onset and progression. The central goal of this study is to obtain an improved understanding of the participants clinical phenotype, leg ulcer mircobiome and the psychosocial and environmental factors that may impact this complication.

To achieve these goals, we will: (1)characterize the leg skin microbiome of SCD participants living with and without leg ulcers within the United States; (2) collect and analyze psychosocial and physical environmental data of individuals with SCD without leg ulcers and with leg ulcers; (3) examine the psychosocial impact of leg ulcers on individuals with SCD by conducting a qualitative phase to explore the individual experiences to understand the physical function, stigma, and self-esteem associated with those with active, recurrent, or single-occurrence presentations of leg ulcers; and (4) explore what factors influence psychological resilience, to examine the relationship of psychological resilience to the health outcomes of an adult population living with sickle cell disease in the U.S. This will afford participants the chance to expound upon existing questions and will provide us the opportunity to understand the complexity of participants experiences and quality of life","Background:

- People with sickle cell disease and other blood disorders sometimes get chronic leg ulcers. These are wounds that develop on the skin and don t go away. Current treatments do not work very well, so researchers want to learn more about why the ulcers happen. They want to find out which bacteria may cause it, and if external factors play a role.

Objective:

- To study social and environmental factors of sickle cell disease and the causes of sickle cell disease leg ulcers.

Eligibility:

- People age 18 and older who have sickle cell disease or another red cell disorder, with or without an active leg ulcer.

Design:

Participants will have a medical history and clinical evaluation. They will also have blood drawn.
Participants will complete questionnaires about their life, health, environment, stress, and other topics.
Participants may provide a small sample of hair.
Participants will be asked to collect a small amount of saliva.
Participants with leg ulcers will have their skin microbiome sampled. The microbiome is all of the microbes (bacteria and and/or fungi) and their genes in and on the body. Researchers will use swabs to collect skin samples. Photographs will be taken of the skin sample area.
Some participants without leg ulcers also will have their skin microbiome sampled.
Some participants who have their skin microbiome sampled will return for a second visit. At this visit, their microbiome will be resampled. It will take place more than 30 days after the first visit."
Completed,September 2008,,,Actual,22,,This trial is conducted in Europe. The aim of this trial is to obtain the PTPN11 mutation status and investigate the impact of the PTPN11 mutation status on the effect of somatropin (Norditropin®) by use of data obtained in the GHNOO-1658 trial.
Recruiting,"May 24, 2019",1 Year,,Anticipated,400,"This multicenter, prospective clinical trial will examine the diagnostic yield and clinical utility of NewbornDx, a targeted genomic sequencing panel for use in the neonate, and rapid whole genomic sequencing (rWGS) testing in high-risk infants with signs/symptoms consistent with a possible genetic disorder. Infants will undergo NewbornDx and rWGS (proband) testing. The biological parent(s), when available, will undergo NewbornDx testing at the same time as the infant. For rWGS,the infant will undergo testing first. If a specific diagnosis that is consistent with the phenotype is not made with rWGS proband analysis alone, the parent(s) will undergo rWGS. The study will also evaluate the cost effectiveness of each test as well as standard of care (SOC) testing. A retrospective chart review of infants with suspected genetic disorders will be done to understand 1-year cost and health outcomes that would have been incurred in the absence of the advanced testing. The resulting data from the trial will be used in the economic evaluation comparing NewbornDx, rWGS, and SOC over a 1-year period and used as basis to simulate the lifetime cost-effectiveness of these testing strategies. A web-based clinical reference database to provide references, clinical management guidelines, opportunities for clinical trial participation, and support groups for each condition will be developed with separate interfaces for the parent/guardian(s) and medical provider. The clinical reference database will be qualitatively assessed by a survey of medical providers.","The Genomic Medicine for Ill Neonates and Infants (The GEMINI Study) is a research study aimed at comparing the clinical and economic utility of performing rapid whole genomic sequencing versus a targeted genomic sequencing panel on neonates and infants suspected of having a genetic disorder. This study is funded by the National Institutes of Health.

This multicenter, prospective clinical trial will enroll 400 subjects at the Floating Hospital for Children at Tufts Medical Center (Boston, MA), Cincinnati Children's Hospital Medical Center (Cincinnati, OH), Mount Sinai Kravis Children's Hospital (New York, NY), North Carolina Children's Hospital (Chapel Hill, NC), Children's Hospital of Pittsburgh (Pittsburgh, PA), and Rady Children's Hospital (San Diego, CA)."
Recruiting,September 2014,,,Anticipated,3600,,Collection of coded biomaterial and clinical data with patients consent for future research.
Recruiting,January 2004,,,Anticipated,1800,"A key component of lung defense is the efficiency of mucociliary clearance (MCC).

Primary ciliary dyskinesia (PCD) is a human genetic disorder with defective MCC. This ongoing project is designed to identify additional disease-causing mutations in PCD, and correlate the molecular etiologies with the ciliary phenotype (ultrastructure, wave form and beat frequency). We have recently shown that the normal human cilium has a distinctive waveform, i.e. beats in-plane with defined curvatures and amplitudes for the effective (forward) and recovery stroke. We hypothesize that discrete sets of genes contribute to the structure and function of the ciliary outer dynein arm (ODA), inner dynein arm (IDA), and central pair (CP) and radial spoke (RS) complex (CP/RS), and that we can identify novel genetic mutations in different structural components of the cilium that will have different effects on ciliary ultrastructure, wave form, and beat frequency. Importantly, we are now able to identify patients with PCD who do not have hallmark diagnostic ultrastructural defects, based on distinctive clinical phenotypes (including situs inversus), low or borderline nasal NO production, and abnormal ciliary motility. Identification of PCD patients with normal ciliary ultrastructure (~16% of PCD patients at UNC) offers the opportunity to discover mutations in genes that cause functional, but not ultrastructural, defects (such as DNAH11), and to correlate those mutations with ciliary waveform abnormalities. Over the past 4 years, we have made great progress in identifying mutations in 2 genes (DNAI1 and DNAH5) that cause ~60% of ODA defects in PCD, and ~35% of PCD overall. We will extend our search for disease causing mutations in PCD, using several different approaches, including studies of additional candidate genes, (guided by ultrastructure), plus insights from ciliary proteomics, and family-based studies. Taken together, these studies will provide new insights regarding the relationship of mutations in specific genes to ciliary ultrastructural and functional defects. These studies will not only greatly enhance our ability to diagnose PCD, but will also lead to discovery of ""milder"" genetic mutations associated with normal ciliary ultrastructure, and likely some residual ciliary function. Ultimately, this will allow future studies of the role of partial loss of ciliary function in the predisposition to more common airways diseases, such as chronic bronchitis and chronic obstructive pulmonary disease.","The overall short-term goals of this project include the following: 1) identify the genes that are key to the function of respiratory cilia to protect the normal lung; and 2) the effects of genetic mutations that adversely affect ciliary function and cause primary ciliary dyskinesia (PCD), which results in life-shortening lung disease. The long-term goal of this project is to develop better understanding of the underlying genetic variability that adversely modifies ciliary function, and predisposes to common airway diseases, such as asthma and chronic obstructive pulmonary disease."
Completed,"May 1, 1997",15 Years,1 Year,Actual,395,,This study is conducted in Japan. The aim of this study is to assess the incidence rate of adverse drug reactions (ADRs) when using somatropin (Norditropin®) for treatment of for achondroplasia without epiphyseal line closure under normal clinical practice conditions.
Completed,"November 22, 2012",,,Actual,81,,This study is conducted in Japan. The aim of the study is to evaluate the efficacy of somatropin (Norditropin®) on adult height (cm) in patients with achondroplasia / hypochondroplasia enrolled in the GH-1941 study (NCT01516229).
Completed,October 2008,,18 Years,Actual,4450,"Specifically, the aims are as follows:

Demonstrate the performance of microarray analysis as a clinical method for prenatal cytogenetic diagnosis with regard to:

Accuracy in the detection of the common autosomal and sex chromosomal aneuploid (trisomies, 13,18,21, 45,X, 47,XXY, etc.)
Ability of microarray to diagnose less common, but clinically significant, cytogenetic aneusomies (e.g. DiGeorge, Williams, Smith- Magenis, Prader-Willi syndrome, etc.) currently not detected by conventional karyotype.
Evaluation of the utility of microarray in specific clinical scenarios such as ultrasound detection of congenital anomalies and fetal growth disorders.
Evaluate the appropriate construction of prenatal diagnostic microarray devices to allow maximal detection of clinically relevant information with minimal detection of unexpected and difficult to interpret findings which have no clinical significance but might provoke patient anxiety.
Evaluate the feasibility and cost-effectiveness of using microarrays as a primary prenatal diagnostic tool.
Evaluate approaches to integrate microarray into clinical prenatal cytogenetic diagnostic practice.
Develop a prenatal diagnostic tissue repository (TDR) to facilitate the further development of microarray technology. This will be used to investigate the molecular etiologies of specific fetal anomalies and to test newer technologies, such as higher resolution microarrays.","The main objective of the multi-centered collaborative study is to evaluate the accuracy, efficacy and clinical advantages of prenatal diagnosis using microarray analysis as compared with conventional karyotyping."
Recruiting,December 2019,,,Anticipated,1,"1. INTRODUCTION

For some neurological and neurodegenerative diseases genetic inheritance is well documented, and guidelins have been improved to ensure a quality diagnostic approach. Unfortunately, this scenario is not reproducible for most of the neurological and neurodegenerative disorders, also when a strong genetic component is documented. This is due to:

Polygenicity, where different genes can contribute to the same phenotype (eg Spastic Paraplegia, associated with over 50 genes)
Multifactorial diseases, genetic can explains only a part of the etiology of the disease (such as Parkinson's disease in which the identified genes are responsible for only 15% of patients with a clinical diagnosis)
Disorders with well established genetic component, but the responsible genes has not been identified.

Therefore, sometimes it impossible or unlikely to complete a molecular diagnosis for patients with a classical or complex phenotypes New technologies such as Next Generation Sequencing (NGS), allow the analysis of hundreds of genes in a single experiment. The implementation of these technologies will help to identify new genes and new variants associate

2. DESIGN STUDY

The goal of this study is to improve the diagnostic approach in molecular genetics through NGS. This will allow to characterize genomic variations and new genes responsible for neurological and neurodegenerative diseases. In particular, NGS will identify:

1. New genes associated with diseases characterized by genetic heterogeneity, Mendelian and polygenic heredity.

2. New variations responsible for disease or that can increase genetic susceptibility.

3. EXPERIMENTAL PHASE (Attachment 1)

Neurology and, if required, Genetic Counseling.
Genetic Counseling identifies the molecular analysis for a specific patient. A blood sample of 6 milliliters will be collected after informed consent (informed consent Neuromed version 2.12.2015).
Specific guidelines for each test will be followed for the first diagnostic approach. Molecular analyses are carried out at the Institute of Molecular Genetics Center IRCCS INM Neuromed using Sanger sequencing, multiplex ligation-dependent probe amplification (MLPA) and microsatellites.
If the specific analysis will not detect the mutations, NGS panel consisting in 4,813 genes associated with known clinical phenotypes (clinical exome, or Mendeliome) will be applied.

4. MATERIALS AND METHODS

DNA/RNA EXTRACTION Genomic DNA will be isolated from peripheral blood leukocytes according to standard procedures. Total RNA will be isolated from cultured cells using TRIzol Reagent (Invitrogen, Life Technologies) according to the manufacturer's instructions. The concentration and purity of DNA/RNA samples will be determinate using Nanodrop 2000 (Thermo Scientific, Life Technologies).
MLPA (Multiplex ligation-dependent probe amplification) MLPA (Multiplex Ligation-dependent Probe Amplification) is a multiplex PCR method detecting abnormal copy numbers of up to 50 different genomic DNA or RNA sequences, which is able to distinguish sequences differing in only one nucleotide.

Typical for MLPA is that it is not target sequences that are amplified, but MLPA probes that hybridise to the target sequence. In contrast to a standard multiplex PCR, a single pair PCR primers is used for MLPA amplification. The resulting amplification products of a SALSA MLPA kits range between 130 and 480 nt in length and can be analysed by capillary electrophoresis. Comparing the peak pattern obtained to that of reference samples indicates which sequences show aberrant copy numbers.

The MLPA reaction can be divided in five major steps: 1) DNA denaturation and hybridisation of MLPA probes; 2) ligation reaction; 3) PCR reaction; 4) separation of amplification products by electrophoresis; and 5) data analysis

• SEQUENCING

The DNA sample to be sequenced is combined in a tube with primer, DNA polymerase, and DNA nucleotides (dATP, dTTP, dGTP, and dCTP). The four dye-labeled, chain-terminating dideoxy nucleotides are added as well, but in much smaller amounts than the ordinary nucleotides.

The mixture is first heated to denature the template DNA (separate the strands), then cooled so that the primer can bind to the single-stranded template. Once the primer has bound, the temperature is raised again, allowing DNA polymerase to synthesize new DNA starting from the primer. DNA polymerase will continue adding nucleotides to the chain until it happens to add a dideoxy nucleotide instead of a normal one. At that point, no further nucleotides can be added, so the strand will end with the dideoxy nucleotide.

This process is repeated in a number of cycles. By the time the cycling is complete, it's virtually guaranteed that a dideoxy nucleotide will have been incorporated at every single position of the target DNA in at least one reaction. That is, the tube will contain fragments of different lengths, ending at each of the nucleotide positions in the original DNA (see figure below). The ends of the fragments will be labeled with dyes that indicate their final nucleotide. After the reaction is done, the fragments are run through a long, thin tube containing a gel matrix in a process called capillary gel electrophoresis. Short fragments move quickly through the pores of the gel, while long fragments move more slowly. As each fragment crosses the ""finish line"" at the end of the tube, it's illuminated by a laser, allowing the attached dye to be detected.

The smallest fragment (ending just one nucleotide after the primer) crosses the finish line first, followed by the next-smallest fragment (ending two nucleotides after the primer), and so forth. Thus, from the colors of dyes registered one after another on the detector, the sequence of the original piece of DNA can be built up one nucleotide at a time. The data recorded by the detector consist of a series of peaks in fluorescence intensity, as shown in the chromatogram above. The DNA sequence is read from the peaks in the chromatogram.

• MICROSATELLITE Microsatellite analysis includes PCR amplification of the microsatellite loci using fluorescently labeled primers (6-FAM, TET, HEX, NED); labeled PCR products are then analyzed by capillary electrophoresis (ABI PRISM 310 and 3130 XL Applied Biosystem) (CE) or electrophoresis to separate the alleles by size.

The results were processed using the GENESCAN and GENOTYPER5 programs. Once established the values of individual alleles, they were assigned to each individual.

• NEXT GENERATION SEQUENCING (NGS)

In principle, the concept behind NGS technology is similar to CE sequencing—DNA polymerase catalyzes the incorporation of fluorescently labeled deoxyribonucleotide triphosphates (dNTPs) into a DNA template strand during sequential cycles of DNA synthesis. During each cycle, at the point of incorporation, the nucleotides are identified by fluorophore excitation. The critical difference is that, instead of sequencing a single DNA fragment, NGS extends this process across millions of fragments in a massively parallel fashion. Illumina sequencing by synthesis (SBS) chemistry is the most widely adopted chemistry in the industry and delivers the highest accuracy, the highest yield of error-free reads, and the highest percentage of base calls above Q30.6-8 The Illumina NGS workflows include 4 basic steps (Figure 3):

o Library Preparation—The sequencing library is prepared by random fragmentation of the DNA or cDNA sample, followed by 5' and 3' adapter ligation. Alternatively, ""tagmentation"" combines the fragmentation and ligation reactions into a single step that greatly increases the efficiency of the library preparation process.9 Adapter-ligated fragments are then PCR amplified and gel purified.

o Cluster Generation—For cluster generation, the library is loaded into a flow cell where fragments are captured on a lawn of surface-bound oligos complementary to the library adapters. Each fragment is then amplified into distinct, clonal clusters through bridge amplification. When cluster generation is complete, the templates are ready for sequencing.

o Sequencing—Illumina technology utilizes a proprietary reversible terminator-based method that detects single bases as they are incorporated into DNA template strands. As all 4 reversible terminator-bound dNTPs are present during each sequencing cycle, natural competition minimizes incorporation bias and greatly reduces raw error rates compared to other technologies.6, 7 The result is highly accurate base-by-base sequencing that virtually eliminates sequence-context-specific errors, even within repetitive sequence regions and homopolymers.

o Data Analysis—During data analysis and alignment, the newly identified sequence reads are then aligned to a reference genome. Following alignment, many variations of analysis are possible such as single nucleotide polymorphism (SNP) or insertion-deletion (indel) identification, read counting for RNA methods, phylogenetic or metagenomic analysis, and more.

5. STATISTICS

In order to determine the pathogenicity of the variants, we will be performed:

Molecular test in proband's family.
In-silico analysis by bioinformatics software (Sift: http://sift.jcvi.org/; PolyPhen: http://genetics.bwh.harvard.edu/pph2/).

Frequency analysis in the general population with SNPs Banks (dbSNP: https: //www.ncbi.nlm.nih.gov/projects/SNP/; EXAC: http://exac.broadinstitute.org/)

6. ETHICAL ASPECTS This study follow the ethical standards of Helsinki Declaration and its revisions. The study will be conducted taking into account the regulatory requirements and compliance with the law. The informed consent already approved previously by the ethics committee.","For some neurological and neurodegenerative diseases genetic inheritance is well documented (described as Mendelian or multifactorial), but sometimes specific mutations or family segregation evidences have not been identified. Considering this scenario, most of the times it is impossible or unlikely to identify the responsible gene, or the private mutation, of a patient affected by a neurodegenerative disease.

New technologies such as Next Generation Sequencing (NGS), allow the analysis of hundreds of genes in a single experiment. The implementation of these technologies will help to identify new genes and new variants associated with neurological diseases. Using this approach, several molecular genetic diagnosis will definitely find the needle in a haystack, and will be able to be used in the clinical practice."
Withdrawn,September 2017,,18 Years,Actual,0,,As part of this study patients who have undergone genetic testing in the Brigham and Women's Hospital Cardiovascular Genetics program will be randomized to receive the results of their genetic testing either by telephone call or virtual visit. At the completion of the telephone call or virtual visit patients will receive a survey to assess their understanding of their results and their satisfaction with their care.
Completed,February 2013,,18 Years,Actual,184,"Specifically the aims are as follows:

Determine the intellectual function of the children at age 3 years
Determine phenotypic characteristics other than intellectual function of the children at age 3 years
Determine the frequency of specific copy number variants discovered during routine prenatal diagnostic testing
Evaluate the educational, counseling and psychosocial implications of microarray testing as it is introduced as a standard prenatal diagnostic procedure.",The objectives of this multi-center collaborative study are to ascertain the frequency of specific copy number variants (CNVs) identified prenatally and to evaluate in detail through continued follow-up of the children the phenotypes associated with CNVs of known or uncertain clinical significance.
Unknown status,June 2014,50 Years,18 Years,Anticipated,160,"Rationale: Conventional prenatal diagnosis (PND) for single-gene disorders requires invasive procedures, either chorionic villus sampling between 11 and 14 weeks gestation or amniocentesis after 15 weeks. Although these approaches to obtain foetal DNA currently provide the golden standard for PND, the invasive procedures carry a risk of miscarriage of 0.5-1%. A reliable non-invasive alternative has long been sought. Circulating cell-free foetal (cff) nucleic acids (DNA and RNA), which are present in maternal blood during pregnancy, can be used for non-invasive prenatal testing (NIPT). NIPT for some chromosomal anomalies (trisomy 21, 13, 18) is now validated. NIPT for other chromosomal anomalies is still under development. NIPT of single-gene disorders is technically very challenging, due to the predominance of maternal DNA sequences, Some small studies have shown that a very limited number of monogenic genetic disorders can currently be diagnosed in maternal blood. In general de novo mutations in the foetus and paternally transmitted disorders are less difficult to diagnose than maternally transmitted disorders.

In this study, the investigators aim to develop non-invasive targeted molecular analysis using cell free fetal (cff) DNA and cff RNA for single-gene disorders, in pregnant women referred to the departments of Clinical Genetics of Maastricht University Medical Centre (MUMC+) and Radboud University Medical Centre (RUMC) for conventional PND. The investigators will contribute to literature by confirming earlier published results, and by adding other single-gene disorders or mutations to the list of disorders for which the possibility of the use of cff DNA will be examined.

Objective: Developing targeted non-invasive prenatal analysis for single-gene disorders using cff DNA and RNA in maternal plasma.

Study design: This study is a proof of concept study in which we aim to demonstrate that molecular analysis can indicate the presence or absence of (a) mutant allele(s) in maternal plasma.

Study population: Pregnant women (≥18y) referred to the Department of Clinical Genetics of MUMC+ or RadboudUMC for conventional PND, for one of the following reasons:

The fetus is at high risk of having inherited a dominant or recessive disorder of his/her affected parent(s).
The fetus at risk of having a de novo disorder on the basis of ultrasonography findings.

Main study endpoints: Does targeted molecular analysis of cff DNA and RNA indicate

the presence or absence of (a) mutant allele(s) in maternal plasma
the presence of a sufficient concentration of foetal nucleic acids in the maternal plasma to reliably diagnose the monogenic disorder Nature and extent of the burden and risks associated with participation and benefit: minimal burden: one moment of blood sampling for the pregnant woman and her partner. In most cases the blood sampling will be combined with regular blood sampling. Benefit: no benefit for this pregnancy as in the study phase the result of the invasive prenatal test is leading.","Developing a new non-invasive prenatal test for single gene disorders from cell free fetal DNA, retrieved from the mothers blood."
"Active, not recruiting","August 25, 2017",,,Anticipated,300,"Ehlers-Danlos Syndrome (EDS) is a genetic disease that affects collagen synthesis and structure resulting in multisystem connective tissue involvement with twelve different subtypes. The clinical manifestations of EDS include skin hyperextensibility, skin fragility, joint hypermobility, muscle hypotonia, easy bruising, and mast cell hypersensitivity. We recently reported a cases series of EDS patients with different signs and symptoms. Most were evaluated along with their parents for evidence of acquired or inherited bone diseases. What is remarkable is that 93% of our cases at least one parent had clinically documented evidence for EDS a genetic disorder that compromises the structural integrity of the collagen/elastin matrix. Most of the parents were unaware they had this genetic disorder and the diagnosis was made for the first time in our clinic. Our previous study for reviewing patient's medical records was approved by the Boston University Medical Center's IRB. We have access to EDS patients from referrals and from Dr Holick's clinic. We plan to collect the blood and saliva samples from EDS patients and their relatives for this genetic study.

Genetic evaluation in limited number of our patients showed some causative variations. For example, one of our cases the patient was evaluated at an outside hospital for a causative variant in the COL5A1, COL5A2, FKBP14, and TNXB genes, which were negative, but she was found later to have a causative variant in serpin peptidase inhibitor, clade F, member 1 (SERPINF1) gene. A causative variation in SERPINF1 gene has been associated with osteogenesis imperfecta (OI) /EDS overlap syndrome and the mutation in this gene causes type VI OI.

The highly variable clinical presentation of patients with the hypermobility and clinical signs for EDS prompted an effort to classify patients with EDS into more homogeneous groups that can aid in diagnosis and management. This resulted in the establishment of 14 types (include 6 major types and 8 minor types). This classification acknowledges the presence of ""others"" including ""unspecified"" forms making it clear that the clinical and genetic heterogeneity of EDS could not be fully captured by that classification. Indeed, there have been numerous reports of patients with hereditary disorders of connective tissue, which have overlapping clinical manifestations of EDS, but do not meet the diagnostic criteria.

For decades, the genetic basis of heritable disorders of connective tissue had remained largely unknown. The rise of molecular genetics and its advances in next-generation sequencing has unlocked doors that continues to lead to major advances in understanding the causative genes for many genetic disorders.

Evaluation of subjects with these conditions often includes molecular testing which has important counseling, therapeutic and sometimes legal implications. An accurate molecular diagnosis can provide the basis for counseling regarding prognosis and reproductive options. Accurate genetic diagnosis has been shown to provide psychological benefits to patients and their families. In order to facilitate sequencing of multiple genes causing some of the common forms of these heritable conditions, we have designed this genetic study to obtain data for the genetic variations of EDS by next generation sequencing. The next generation sequencing panel may be of value in guiding future clinical pathways for genetic diagnosis in EDS. We plan to recruit EDS patients and their relatives for genetic testing. We also plan to submit a NIH grant for this purpose and provide required preliminary data through this pilot grant about genetic variation of EDS.

The primary objective is to compare genetic variations in EDS patients with their relatives. We expect to find some genetic variations that may explain clinical signs and symptoms in EDS patients.

Secondary objective is to provide a novel testing panel on a single diagnostic platform for EDS. After performing next generation sequencing, we plan to design a genetic panel for EDS.

A third objective will be to determine if saliva can be as good and reliable source of DNA for genetic testing as DNA obtained from blood.","We are planning to collected blood and saliva for DNA extraction to use for genetic testing of children and adults with EDS and their relatives. Medical records from other institutions and clinical notes for visits in Dr. Holick's clinic will be reviewed to obtain the following information: previous diagnosis at other institutions, age, clinical signs and symptoms of EDS, Joints Hypermobility Syndrome (JHS), , and other metabolic or genetic disorders and laboratory results, radiology reports and images, and genetic testing that supports these diagnoses. Subjects' peripheral vein blood and saliva will be taken. No clinical intervention/randomizations will be performed. No patients' identifiers will be reported.

In this pilot study genomic DNA will be extracted and will be used for genotyping as sequencing in 30 EDS patients and their 30 relatives with or without EDS to compare genetic variations between them. After validation by Sanger sequencing for these variations, we plan to prepare a genetic panel for EDS. After all validation testing, we plan to evaluate the saliva DNA in a similar manner and compare the results with those obtained from the DNA from the blood sample. The purpose is that if they are comparable, we will be able to use saliva in place of blood as it easier method for accessing a person's DNA. This will be especially helpful for evaluating infants or those patients who prefer not to have a blood sample drawn. NOTE: Results of this study will not be disclosed to subjects."
Completed,June 1990,,18 Years,Actual,24,,This trial is conducted in Europe. The aim of this trial is to evaluate the effect of somatropin (Norditropin®) on final height in children with Noonan syndrome having being treated for up to 10 years with somatropin (Norditropin®) for the attainment of an optimal final height in the original trial S/GHD/004/NOO.
Completed,June 2009,,18 Years,Actual,25,,"Hereditary angioedema (""HAE"") is a disease characterized by recurrent tissue swelling affecting various body locations. Recent literature shows that patients with frequent attacks may benefit from long-term prophylaxis. This study aims to evaluate the safety and prophylactic effect of weekly administrations of 50 IU/kg recombinant C1 Inhibitor (""rhC1INH"")."
Completed,November 2008,15 Years,,Actual,41,,"This study is conducted in Europe. The aim of this observational study is to collect data from children with Prader-Willi Syndrome, who have been treated off-label with Norditropin® for more than 12 months to seek approval for Norditropin® treatment with Prader-Willi Syndrome."
Unknown status,October 2007,,50 Years,Anticipated,60,"Only patients requiring treatment (B-symptoms, lymphoma progression > 50% within an observation period of 6 months or less, organ compression by lymphoma or bulky disease as defined by lesions above 5 cm on one axis) may enter the study.","This is a European multicenter study of 90Yttrium-Ibritumomab Tiuxetan (90Y-Ibritumomab Tiuxetan) (Zevalin®) as a front line therapy for patients with follicular lymphoma grade I-IIIa and stage III-IV (as well as for selected patients with extended abdominal stage II). For patients with complete clinical remission but persistent molecular disease subsequent to 90Y-Ibritumomab Tiuxetan treatment a consolidation immunotherapy with Rituximab is added, to eradicate minimal residual disease."
Completed,February 2016,70 Years,18 Years,Actual,2576,"This was a national, cross-sectional study recruiting patients from nephrology out-patient clinics and dialysis units. All patients between 18 and 70 years of age who were on follow up in outpatient clinic and dialysis unit at the Istanbul Medical Faculty from October 2009 to October 2015 were included in the study. All patients and healthy controls enrolled in this study gave informed consent to participate in the survey. They were all asked to answer a questionnaire including socio-demographic data, history of familial kidney disease and consanguineous marriage. Additional information was obtained from their private physicians and medical files. To ensure reliability of administration of the questionnaire, all interviewers underwent training using a standardized protocol.",Inbreeding and consanguineous marriages are known to increase the risk of autosomal recessive disorders. The aim of this study was to examine the association between consanguinity and kidney diseases in the adult Turkish population.
